id,number,mesh_file,top_level_id,material,u_grid_count,v_grid_count,u_spacing,v_spacing,panel_material
cw-1,,,lv-4,composite,9,4,1.265,2,Glass
cw-2,,,lv-4,composite,9,4,1.265,2,Glass
cw-3,,,lv-4,composite,9,1,1.265,,Glass
cw-4,,,lv-4,composite,9,24,1.265,2,Glass
cw-5,,,lv-4,composite,9,2,1.265,2,Glass
cw-6,,,lv-4,composite,9,10,1.265,2,Glass
cw-7,,,lv-3,composite,12,5,,,Glass
cw-8,,,lv-3,composite,11,3,0.61,,Glass
cw-9,,,lv-3,composite,11,3,0.61,2.44,Glass
cw-12,,,lv-4,composite,9,8,1.265,2,Glass
cw-13,,,lv-4,composite,2,8,0.241,,Glass
cw-14,,,lv-4,composite,9,12,1.265,2,Glass
cw-16,,,lv-4,composite,9,20,1.265,2,Glass
cw-18,,,lv-4,composite,9,1,1.265,,Glass
cw-19,,,lv-4,composite,4,2,1.265,2,Glass
cw-20,,,lv-4,composite,9,5,1.265,2,Glass
cw-21,,,lv-4,composite,9,3,1.265,2,Glass
cw-22,,,lv-4,composite,9,0,1.265,,Glass
cw-32,,,lv-4,composite,6,1,1.265,,Glass
cw-33,,,lv-4,composite,6,1,1.265,,Glass
